questions_id,questions,num_respondents,options,Trump_perc,Clinton_perc,Others_Unknown_perc,state
13,Income,24558,"$50K-$99,999",49,46,5,nation
13,Income,24558,"$100K-$199,999",48,47,5,nation
13,Income,24558,"$200K-$249,999",47,49,4,nation
13,Income,24558,"$250,000 or more",46,46,8,nation
14,Income,24558,Under $50K,41,53,6,nation
14,Income,24558,$50K or more,48,47,5,nation
15,Income,24558,Under $100K,45,49,6,nation
15,Income,24558,$100K or more,47,47,6,nation
16,Income,24558,Under $50K,41,53,6,nation
16,Income,24558,$50K-$100K,49,46,5,nation
16,Income,24558,$100K or more,47,47,6,nation
17,Party ID,24558,Democrats,8,89,3,nation
17,Party ID,24558,Republicans,88,8,4,nation
17,Party ID,24558,Independents,46,42,12,nation
18,Party by gender,24558,Democratic men,9,87,4,nation
18,Party by gender,24558,Democratic women,7,91,2,nation
18,Party by gender,24558,Republican men,89,7,4,nation
18,Party by gender,24558,Republican women,88,9,3,nation
18,Party by gender,24558,Independent men,50,38,12,nation
18,Party by gender,24558,Independent women,42,47,11,nation
19,Ideology,24558,Liberal,10,84,6,nation
19,Ideology,24558,Moderate,40,52,8,nation
19,Ideology,24558,Conservative,81,16,3,nation
20,Marital status,24558,Married,52,44,4,nation
20,Marital status,24558,Unmarried,37,55,8,nation
21,Marital status by gender,24558,Married men,57,38,5,nation
21,Marital status by gender,24558,Married women,47,49,4,nation
21,Marital status by gender,24558,Unmarried men,44,46,10,nation
21,Marital status by gender,24558,Unmarried women,32,63,5,nation
22,White born-again or evangelical Christian?,24558,Yes,80,16,4,nation
22,White born-again or evangelical Christian?,24558,No,34,60,6,nation
23,Religion,24558,Protestant,59,36,5,nation
23,Religion,24558,Catholic,50,46,4,nation
23,Religion,24558,Mormon,56,28,16,nation
23,Religion,24558,Other Christian,54,43,3,nation
23,Religion,24558,Jewish,23,71,6,nation
23,Religion,24558,Muslim,NA,NA,NA,nation
23,Religion,24558,Other religion,32,58,10,nation
23,Religion,24558,No religion,25,67,8,nation
24,Religion,24558,Protestant,56,39,5,nation
24,Religion,24558,Catholic,50,46,4,nation
24,Religion,24558,Jewish,23,71,6,nation
24,Religion,24558,Another religion,29,62,9,nation
24,Religion,24558,No religion,25,67,8,nation
25,How often do you attend religious services?,24558,Weekly or more,55,41,4,nation
25,How often do you attend religious services?,24558,Monthly,49,47,4,nation
25,How often do you attend religious services?,24558,Few times a year,46,48,6,nation
25,How often do you attend religious services?,24558,Never,30,62,8,nation
26,How often do you attend religious services?,24558,Monthly or more,53,43,4,nation
26,How often do you attend religious services?,24558,Less often than that,39,54,7,nation
27,Union household?,24558,Yes,42,51,7,nation
27,Union household?,24558,No,48,46,6,nation
28,Served in the U.S. military,24558,Veterans,60,34,6,nation
28,Served in the U.S. military,24558,Non-veterans,44,50,6,nation
29,Were you born a U.S. citizen?,24558,Yes,49,45,6,nation
29,Were you born a U.S. citizen?,24558,No,31,64,5,nation
30,First-time voter?,24558,Yes,38,57,5,nation
30,First-time voter?,24558,No,47,47,6,nation
31,When did you decide presidential vote?,24558,Last few days,43,43,14,nation
31,When did you decide presidential vote?,24558,Last week,49,41,10,nation
31,When did you decide presidential vote?,24558,In October,51,37,12,nation
31,When did you decide presidential vote?,24558,In September,48,46,6,nation
31,When did you decide presidential vote?,24558,Before September,45,52,3,nation
32,When did you decide presidential vote?,24558,In the last week,45,42,13,nation
32,When did you decide presidential vote?,24558,Before that,46,49,5,nation
33,When did you decide presidential vote?,24558,In the last month,48,40,12,nation
33,When did you decide presidential vote?,24558,Before that,45,51,4,nation
34,Opinion of presidential candidate you voted for,24558,Strongly favor ,41,53,6,nation
34,Opinion of presidential candidate you voted for,24558,Have reservations,48,49,3,nation
34,Opinion of presidential candidate you voted for,24558,Dislike opponents,50,39,11,nation
35,Most important issue facing the country,24558,Foreign policy,33,60,7,nation
35,Most important issue facing the country,24558,Immigration,64,33,3,nation
35,Most important issue facing the country,24558,Economy,41,52,7,nation
35,Most important issue facing the country,24558,Terrorism,57,40,3,nation
36,Which candidate quality mattered most?,24558,Cares about me,34,57,9,nation
36,Which candidate quality mattered most?,24558,Can bring change,82,14,4,nation
36,Which candidate quality mattered most?,24558,Right experience,7,90,3,nation
36,Which candidate quality mattered most?,24558,Good judgment,25,65,10,nation
37,Illegal immigrants working in the U.S. should be:,24558,Offered legal status,33,61,6,nation
37,Illegal immigrants working in the U.S. should be:,24558,Deported to home country,83,14,3,nation
38,View of U.S. wall along the entire Mexican border,24558,Support,85,10,5,nation
38,View of U.S. wall along the entire Mexican border,24558,Oppose,16,76,8,nation
39,Effect of international trade,24558,Creates U.S. jobs,35,59,6,nation
39,Effect of international trade,24558,Takes away U.S. jobs,64,32,4,nation
39,Effect of international trade,24558,Does not affect jobs,30,65,5,nation
40,How is the fight against ISIS going?,24558,Very well,11,85,4,nation
40,How is the fight against ISIS going?,24558,Somewhat well,24,71,5,nation
40,How is the fight against ISIS going?,24558,Somewhat badly,55,37,8,nation
40,How is the fight against ISIS going?,24558,Very badly,83,12,5,nation
41,How is the fight against ISIS going?,24558,Well,22,73,5,nation
41,How is the fight against ISIS going?,24558,Badly,68,25,7,nation
42,"In your vote, were Supreme Court appointments:",24558,The most important factor,56,41,3,nation
42,"In your vote, were Supreme Court appointments:",24558,An important factor,46,49,5,nation
42,"In your vote, were Supreme Court appointments:",24558,A minor factor,40,49,11,nation
42,"In your vote, were Supreme Court appointments:",24558,Not a factor at all,37,55,8,nation
43,"In your vote, were Supreme Court appointments:",24558,Important,49,47,4,nation
43,"In your vote, were Supreme Court appointments:",24558,Not important,39,52,9,nation
44,Does the country's criminal justice system:,24558,Treat all fairly,73,23,4,nation
44,Does the country's criminal justice system:,24558,Treat blacks unfairly,22,72,6,nation
45,View on Obamacare,24558,Did not go far enough,18,78,4,nation
45,View on Obamacare,24558,Was about right,10,83,7,nation
45,View on Obamacare,24558,Went too far,82,13,5,nation
46,Feelings about the federal government,24558,Enthusiastic,19,78,3,nation
46,Feelings about the federal government,24558,Satisfied,19,76,5,nation
46,Feelings about the federal government,24558,Dissatisfied,48,46,6,nation
46,Feelings about the federal government,24558,Angry,75,18,7,nation
47,Feelings about the federal government,24558,Enthusiastic/Satisfied,19,76,5,nation
47,Feelings about the federal government,24558,Dissatisfied/Angry,57,36,7,nation
48,Opinion of government,24558,Government should do more,22,74,4,nation
48,Opinion of government,24558,Government doing too much,72,22,6,nation
49,Opinion of Barack Obama as president,24558,Strongly approve,4,93,3,nation
49,Opinion of Barack Obama as president,24558,Somewhat approve,20,69,11,nation
49,Opinion of Barack Obama as president,24558,Somewhat disapprove,77,14,9,nation
49,Opinion of Barack Obama as president,24558,Strongly disapprove,93,3,4,nation
50,Opinion of Barack Obama as president,24558,Approve,10,84,6,nation
50,Opinion of Barack Obama as president,24558,Disapprove,89,6,5,nation
51,Should the next president:,24558,Continue Obama's policies,5,91,4,nation
51,Should the next president:,24558,Be more conservative,82,13,5,nation
51,Should the next president:,24558,Be more liberal,23,69,8,nation
52,Opinion of Hillary Clinton,24558,Favorable,3,96,1,nation
52,Opinion of Hillary Clinton,24558,Unfavorable,81,11,8,nation
53,Opinion of Donald Trump,24558,Favorable,95,4,1,nation
53,Opinion of Donald Trump,24558,Unfavorable,15,77,8,nation
54,Opinion of Clinton and Trump,24558,Both favorable,NA,NA,NA,nation
54,Opinion of Clinton and Trump,24558,Only Clinton favorable,1,98,1,nation
54,Opinion of Clinton and Trump,24558,Only Trump favorable,98,1,1,nation
54,Opinion of Clinton and Trump,24558,Both unfavorable,47,30,23,nation
55,Is Hillary Clinton honest and trustworthy?,24558,Yes,4,94,2,nation
55,Is Hillary Clinton honest and trustworthy?,24558,No,72,20,8,nation
56,Is Donald Trump honest and trustworthy?,24558,Yes,94,6,0,nation
56,Is Donald Trump honest and trustworthy?,24558,No,20,71,9,nation
57,Which candidate is honest?,24558,Both are,NA,NA,NA,nation
57,Which candidate is honest?,24558,Only Clinton is,1,97,2,nation
57,Which candidate is honest?,24558,Only Trump is,98,2,0,nation
57,Which candidate is honest?,24558,Neither is,43,40,17,nation
58,Is Clinton qualified to serve as president?,24558,Yes,9,86,5,nation
58,Is Clinton qualified to serve as president?,24558,No,88,5,7,nation
59,Is Trump qualified to serve as president?,24558,Yes,94,4,2,nation
59,Is Trump qualified to serve as president?,24558,No,17,75,8,nation
60,Who is qualified to serve as president?,24558,Both are,71,22,7,nation
60,Who is qualified to serve as president?,24558,Only Clinton is,2,94,4,nation
60,Who is qualified to serve as president?,24558,Only Trump is,98,1,1,nation
60,Who is qualified to serve as president?,24558,Neither is,66,15,19,nation
61,Does Clinton have the temperament to be president?,24558,Yes,12,83,5,nation
61,Does Clinton have the temperament to be president?,24558,No,88,5,7,nation
62,Does Trump have the temperament to be president?,24558,Yes,94,5,1,nation
62,Does Trump have the temperament to be president?,24558,No,19,72,9,nation
63,Which candidate has the right temperament?,24558,Both do,77,20,3,nation
63,Which candidate has the right temperament?,24558,Only Clinton does,5,90,5,nation
63,Which candidate has the right temperament?,24558,Only Trump does,97,2,1,nation
63,Which candidate has the right temperament?,24558,Neither does,67,12,21,nation
64,How would you feel if Clinton wins?,24558,Excited,1,98,1,nation
64,How would you feel if Clinton wins?,24558,Optimistic,5,92,3,nation
64,How would you feel if Clinton wins?,24558,Concerned,68,19,13,nation
64,How would you feel if Clinton wins?,24558,Scared,94,1,5,nation
65,How would you feel if Clinton wins?,24558,Positive,3,94,3,nation
65,How would you feel if Clinton wins?,24558,Negative,82,9,9,nation
66,How would you feel if Trump wins?,24558,Excited,97,2,1,nation
66,How would you feel if Trump wins?,24558,Optimistic,95,3,2,nation
66,How would you feel if Trump wins?,24558,Concerned,33,54,13,nation
66,How would you feel if Trump wins?,24558,Scared,2,92,6,nation
67,How would you feel if Trump wins?,24558,Positive,95,3,2,nation
67,How would you feel if Trump wins?,24558,Negative,13,78,9,nation
68,Does Clinton's use of private email bother you:,24558,A lot,86,7,7,nation
68,Does Clinton's use of private email bother you:,24558,Some,25,68,7,nation
68,Does Clinton's use of private email bother you:,24558,Not much,7,88,5,nation
68,Does Clinton's use of private email bother you:,24558,Not at all,5,93,2,nation
69,Does Clinton's use of private email bother you?,24558,Yes,69,24,7,nation
69,Does Clinton's use of private email bother you?,24558,No,6,91,3,nation
70,Does Donald Trump's treatment of women bother you:,24558,A lot,11,83,6,nation
70,Does Donald Trump's treatment of women bother you:,24558,Some,73,20,7,nation
70,Does Donald Trump's treatment of women bother you:,24558,Not much,88,8,4,nation
70,Does Donald Trump's treatment of women bother you:,24558,Not at all,86,11,3,nation
71,Does Donald Trump's treatment of women bother you?,24558,Yes,29,65,6,nation
71,Does Donald Trump's treatment of women bother you?,24558,No,87,10,3,nation
72,Who would better handle the economy?,24558,Clinton,1,95,4,nation
72,Who would better handle the economy?,24558,Trump,94,3,3,nation
73,Who would better handle foreign policy?,24558,Clinton,7,86,7,nation
73,Who would better handle foreign policy?,24558,Trump,96,2,2,nation
74,Who would be a better commander in chief?,24558,Clinton,2,93,5,nation
74,Who would be a better commander in chief?,24558,Trump,95,1,4,nation
75,Opinion of the Democratic Party,24558,Favorable,8,88,4,nation
75,Opinion of the Democratic Party,24558,Unfavorable,83,9,8,nation
76,Opinion of the Republican Party,24558,Favorable,85,11,4,nation
76,Opinion of the Republican Party,24558,Unfavorable,20,73,7,nation
77,Condition of national economy,24558,Excellent,16,83,1,nation
77,Condition of national economy,24558,Good,18,76,6,nation
77,Condition of national economy,24558,Not good,53,40,7,nation
77,Condition of national economy,24558,Poor,79,15,6,nation
78,Condition of national economy,24558,Good,18,77,5,nation
78,Condition of national economy,24558,Poor,62,31,7,nation
79,Financial situation compared to four years ago:,24558,Better today,23,72,5,nation
79,Financial situation compared to four years ago:,24558,Worse today,77,19,4,nation
79,Financial situation compared to four years ago:,24558,About the same,45,47,8,nation
80,Direction of the country,24558,Right direction,7,89,4,nation
80,Direction of the country,24558,Wrong track,68,26,6,nation
81,Life for the next generation of Americans will be:,24558,Better than today,38,59,3,nation
81,Life for the next generation of Americans will be:,24558,Worse than today,63,31,6,nation
81,Life for the next generation of Americans will be:,24558,About the same,38,54,8,nation
82,Vote for president in a two-way race,24558,Clinton,1,97,2,nation
82,Vote for president in a two-way race,24558,Trump,97,1,2,nation
82,Vote for president in a two-way race,24558,Would not vote,19,16,65,nation
83,How confident are you in the vote count?,24558,Very confident,27,68,5,nation
83,How confident are you in the vote count?,24558,Somewhat confident,61,33,6,nation
83,How confident are you in the vote count?,24558,Not very confident,68,25,7,nation
83,How confident are you in the vote count?,24558,Not at all confident,57,28,15,nation
84,Are you confident in the vote count?,24558,Confident,42,53,5,nation
84,Are you confident in the vote count?,24558,Not confident,65,26,9,nation
85,"Are you gay, lesbian, bisexual or transgender?",24558,Yes,14,77,9,nation
85,"Are you gay, lesbian, bisexual or transgender?",24558,No,47,47,6,nation
86,Importance of debates to your vote,24558,Most important factor,47,51,2,nation
86,Importance of debates to your vote,24558,An important factor,45,50,5,nation
86,Importance of debates to your vote,24558,A minor factor,58,37,5,nation
86,Importance of debates to your vote,24558,Not a factor,49,41,10,nation
87,Importance of debates to your vote,24558,Important,46,50,4,nation
87,Importance of debates to your vote,24558,Not important,55,38,7,nation
88,Were debates a factor in your vote?,24558,Yes,48,47,5,nation
88,Were debates a factor in your vote?,24558,No,49,41,10,nation
89,Vote for U.S. House,24558,Democratic candidate,5,90,5,nation
89,Vote for U.S. House,24558,Republican candidate,87,8,5,nation
90,Area type,24558,Urban area,34,60,6,nation
90,Area type,24558,Suburban area,49,45,6,nation
90,Area type,24558,Rural area,61,34,5,nation
1,Gender,1729,Male,53,40,7,Arizona
1,Gender,1729,Female,45,49,6,Arizona
2,Age,1729,18-29,35,53,12,Arizona
2,Age,1729,30-44,41,47,12,Arizona
2,Age,1729,45-64,54,41,5,Arizona
2,Age,1729,65 and older,55,42,3,Arizona
3,Age,1729,18-24,NA,NA,NA,Arizona
3,Age,1729,25-29,NA,NA,NA,Arizona
3,Age,1729,30-39,41,47,12,Arizona
3,Age,1729,40-49,48,45,7,Arizona
3,Age,1729,50-64,55,41,4,Arizona
3,Age,1729,65 and older,55,42,3,Arizona
4,Age,1729,18-44,39,49,12,Arizona
4,Age,1729,45 and older,55,42,3,Arizona
5,Race,1729,White,54,40,6,Arizona
5,Race,1729,Black,NA,NA,NA,Arizona
5,Race,1729,Latino,31,61,8,Arizona
5,Race,1729,Asian,NA,NA,NA,Arizona
5,Race,1729,Other race,NA,NA,NA,Arizona
6,Race,1729,White,54,40,6,Arizona
6,Race,1729,Non-white,32,59,9,Arizona
7,Race and gender,1729,White men,56,36,8,Arizona
7,Race and gender,1729,White women,51,44,5,Arizona
7,Race and gender,1729,Black men,NA,NA,NA,Arizona
7,Race and gender,1729,Black women,NA,NA,NA,Arizona
7,Race and gender,1729,Latino men,42,51,7,Arizona
7,Race and gender,1729,Latino women,17,73,10,Arizona
7,Race and gender,1729,Others,NA,NA,NA,Arizona
8,Education,1729,High school or less,52,44,4,Arizona
8,Education,1729,Some college,49,43,8,Arizona
8,Education,1729,College graduate,51,41,8,Arizona
8,Education,1729,Postgraduate,39,58,3,Arizona
9,Are you a college graduate?,1729,Yes,47,46,7,Arizona
9,Are you a college graduate?,1729,No,50,43,7,Arizona
10,Education and race,1729,White college graduates,50,44,6,Arizona
10,Education and race,1729,Whites no degree,58,36,6,Arizona
10,Education and race,1729,Non-whites college grads,35,57,8,Arizona
10,Education and race,1729,Non-whites no degree,30,61,9,Arizona
11,Education among whites by sex,1729,White college-grad women,48,46,6,Arizona
11,Education among whites by sex,1729,White non-college women,55,40,5,Arizona
11,Education among whites by sex,1729,White college-grad men,53,41,6,Arizona
11,Education among whites by sex,1729,White non-college men,60,32,8,Arizona
11,Education among whites by sex,1729,Non-whites,32,59,9,Arizona
12,Party ID,1729,Democrats,7,89,4,Arizona
12,Party ID,1729,Republicans,88,7,5,Arizona
12,Party ID,1729,Independents,47,44,9,Arizona
13,Party by gender,1729,Democratic men,6,89,5,Arizona
13,Party by gender,1729,Democratic women,7,89,4,Arizona
13,Party by gender,1729,Republican men,89,6,5,Arizona
13,Party by gender,1729,Republican women,88,8,4,Arizona
13,Party by gender,1729,Independent men,50,40,10,Arizona
13,Party by gender,1729,Independent women,42,49,9,Arizona
14,Ideology,1729,Liberal,12,80,8,Arizona
14,Ideology,1729,Moderate,38,55,7,Arizona
14,Ideology,1729,Conservative,82,13,5,Arizona
15,Income,1729,"Under $30,000",38,54,8,Arizona
15,Income,1729,"$30K-$49,999",43,47,10,Arizona
15,Income,1729,"$50K-$99,999",48,48,4,Arizona
15,Income,1729,"$100K-$199,999",54,40,6,Arizona
15,Income,1729,"$200K-$249,999",NA,NA,NA,Arizona
15,Income,1729,"$250,000 or more",NA,NA,NA,Arizona
16,Income,1729,Under $50K,40,50,10,Arizona
16,Income,1729,$50K-$100K,48,48,4,Arizona
16,Income,1729,$100K or more,54,40,6,Arizona
17,Income,1729,Under $50K,40,50,10,Arizona
17,Income,1729,$50K or more,51,44,5,Arizona
18,Income,1729,Under $100K,44,49,7,Arizona
18,Income,1729,$100K or more,54,40,6,Arizona
19,When did you decide presidential vote?,1729,Last few daysN/A,NA,NA,NA,Arizona
19,When did you decide presidential vote?,1729,Last week,NA,NA,NA,Arizona
19,When did you decide presidential vote?,1729,In October,50,39,11,Arizona
19,When did you decide presidential vote?,1729,In September,43,44,13,Arizona
19,When did you decide presidential vote?,1729,Before September,49,49,2,Arizona
20,When did you decide presidential vote?,1729,In the last week,NA,NA,NA,Arizona
20,When did you decide presidential vote?,1729,Before that,48,47,5,Arizona
21,When did you decide presidential vote?,1729,In the last month,48,40,12,Arizona
21,When did you decide presidential vote?,1729,Before that,48,48,4,Arizona
22,Opinion of presidential candidate you voted for,1729,Strongly favor ,52,45,3,Arizona
22,Opinion of presidential candidate you voted for,1729,Have reservations,42,53,5,Arizona
22,Opinion of presidential candidate you voted for,1729,Dislike opponents,49,40,11,Arizona
23,Most important issue facing the country,1729,Foreign policy,33,58,9,Arizona
23,Most important issue facing the country,1729,Immigration,67,31,2,Arizona
23,Most important issue facing the country,1729,Economy,46,48,6,Arizona
23,Most important issue facing the country,1729,Terrorism,54,38,8,Arizona
24,Which candidate quality mattered most?,1729,Cares about me,46,44,10,Arizona
24,Which candidate quality mattered most?,1729,Can bring change,88,8,4,Arizona
24,Which candidate quality mattered most?,1729,Right experience,9,89,2,Arizona
24,Which candidate quality mattered most?,1729,Good judgment,33,56,11,Arizona
25,Illegal immigrants working in the U.S. should be:,1729,Offered legal status,37,55,8,Arizona
25,Illegal immigrants working in the U.S. should be:,1729,Deported to home country,81,15,4,Arizona
26,View of U.S. wall along the entire Mexican border,1729,Support,85,12,3,Arizona
26,View of U.S. wall along the entire Mexican border,1729,Oppose,14,77,9,Arizona
27,How do things work in the U.S. today?,1729,Whites are favored,14,80,6,Arizona
27,How do things work in the U.S. today?,1729,Minorities are favored,83,12,5,Arizona
27,How do things work in the U.S. today?,1729,No group is favored,57,36,7,Arizona
28,Feelings about the federal government,1729,Enthusiastic,NA,NA,NA,Arizona
28,Feelings about the federal government,1729,Satisfied,11,86,3,Arizona
28,Feelings about the federal government,1729,Dissatisfied,50,43,7,Arizona
28,Feelings about the federal government,1729,Angry,71,22,7,Arizona
29,Feelings about the federal government,1729,Enthusiastic/Satisfied,12,85,3,Arizona
29,Feelings about the federal government,1729,Dissatisfied/Angry,59,34,7,Arizona
30,Opinion of Barack Obama as president,1729,Strongly approve,1,95,4,Arizona
30,Opinion of Barack Obama as president,1729,Somewhat approve,22,68,10,Arizona
30,Opinion of Barack Obama as president,1729,Somewhat disapprove,66,19,15,Arizona
30,Opinion of Barack Obama as president,1729,Strongly disapprove,91,5,4,Arizona
31,Opinion of Barack Obama as president,1729,Approve,9,85,6,Arizona
31,Opinion of Barack Obama as president,1729,Disapprove,85,8,7,Arizona
32,Opinion of Hillary Clinton,1729,Favorable,2,97,1,Arizona
32,Opinion of Hillary Clinton,1729,Unfavorable,81,9,10,Arizona
33,Opinion of Donald Trump,1729,Favorable,94,5,1,Arizona
33,Opinion of Donald Trump,1729,Unfavorable,14,77,9,Arizona
34,Opinion of Clinton and Trump,1729,Both favorable,NA,NA,NA,Arizona
34,Opinion of Clinton and Trump,1729,Only Clinton favorable,1,98,1,Arizona
34,Opinion of Clinton and Trump,1729,Only Trump favorable,97,1,2,Arizona
34,Opinion of Clinton and Trump,1729,Both unfavorable,44,27,29,Arizona
35,Is Hillary Clinton honest and trustworthy?,1729,Yes,2,97,1,Arizona
35,Is Hillary Clinton honest and trustworthy?,1729,No,74,17,9,Arizona
36,Is Donald Trump honest and trustworthy?,1729,Yes,93,5,2,Arizona
36,Is Donald Trump honest and trustworthy?,1729,No,16,74,10,Arizona
37,Which candidate is honest?,1729,Both are,NA,NA,NA,Arizona
37,Which candidate is honest?,1729,Only Clinton is,1,98,1,Arizona
37,Which candidate is honest?,1729,Only Trump is,97,1,2,Arizona
37,Which candidate is honest?,1729,Neither is,38,42,20,Arizona
38,Does Clinton have the temperament to be president?,1729,Yes,14,80,6,Arizona
38,Does Clinton have the temperament to be president?,1729,No,91,2,7,Arizona
39,Does Trump have the temperament to be president?,1729,Yes,95,4,1,Arizona
39,Does Trump have the temperament to be president?,1729,No,14,76,10,Arizona
40,Which candidate has the right temperament?,1729,Both do,81,16,3,Arizona
40,Which candidate has the right temperament?,1729,Only Clinton does,4,90,6,Arizona
40,Which candidate has the right temperament?,1729,Only Trump does,98,1,1,Arizona
40,Which candidate has the right temperament?,1729,Neither does,68,6,26,Arizona
41,Is Trump qualified to serve as president?,1729,Yes,94,3,3,Arizona
41,Is Trump qualified to serve as president?,1729,No,12,78,10,Arizona
42,Is Clinton qualified to serve as president?,1729,Yes,11,84,5,Arizona
42,Is Clinton qualified to serve as president?,1729,No,89,3,8,Arizona
43,Who is qualified to serve as president?,1729,Both are,NA,NA,NA,Arizona
43,Who is qualified to serve as president?,1729,Only Clinton is,2,93,5,Arizona
43,Who is qualified to serve as president?,1729,Only Trump is,98,1,1,Arizona
43,Who is qualified to serve as president?,1729,Neither is,57,10,33,Arizona
44,Does Clinton's use of private email bother you:,1729,A lot,85,7,8,Arizona
44,Does Clinton's use of private email bother you:,1729,Some,23,70,7,Arizona
44,Does Clinton's use of private email bother you:,1729,Not much,9,86,5,Arizona
44,Does Clinton's use of private email bother you:,1729,Not at all,6,92,2,Arizona
45,Does Clinton's use of private email bother you?,1729,Yes,70,22,8,Arizona
45,Does Clinton's use of private email bother you?,1729,No,7,90,3,Arizona
46,Does Donald Trump's treatment of women bother you:,1729,A lot,11,80,9,Arizona
46,Does Donald Trump's treatment of women bother you:,1729,Some,73,22,5,Arizona
46,Does Donald Trump's treatment of women bother you:,1729,Not much,83,10,7,Arizona
46,Does Donald Trump's treatment of women bother you:,1729,Not at all,92,5,3,Arizona
47,Does Donald Trump's treatment of women bother you?,1729,Yes,30,63,7,Arizona
47,Does Donald Trump's treatment of women bother you?,1729,No,89,7,4,Arizona
48,Who would better handle the economy?,1729,Clinton,2,94,4,Arizona
48,Who would better handle the economy?,1729,Trump,93,3,4,Arizona
49,Who would better handle foreign policy?,1729,Clinton,8,85,7,Arizona
49,Who would better handle foreign policy?,1729,Trump,94,2,4,Arizona
50,Condition of national economy,1729,Excellent,NA,NA,NA,Arizona
50,Condition of national economy,1729,Good,12,83,5,Arizona
50,Condition of national economy,1729,Not good,57,33,10,Arizona
50,Condition of national economy,1729,Poor,79,16,5,Arizona
51,Condition of national economy,1729,Good,12,83,5,Arizona
51,Condition of national economy,1729,Poor,68,25,7,Arizona
52,Life for the next generation of Americans will be:,1729,Better than today,39,56,5,Arizona
52,Life for the next generation of Americans will be:,1729,Worse than today,67,24,9,Arizona
52,Life for the next generation of Americans will be:,1729,About the same,36,58,6,Arizona
53,Vote for president in a two-way race,1729,Clinton,1,96,3,Arizona
53,Vote for president in a two-way race,1729,Trump,95,1,4,Arizona
53,Vote for president in a two-way race,1729,Would not vote,NA,NA,NA,Arizona
54,Area type,1729,Urban area,44,49,7,Arizona
54,Area type,1729,Suburban area,55,39,6,Arizona
54,Area type,1729,Rural area,53,40,7,Arizona
55,Region,1729,Maricopa County ,49,44,7,Arizona
55,Region,1729,Pima County,40,55,5,Arizona
55,Region,1729,Rest of Arizona,54,40,6,Arizona
1,Gender,2469,Male,36,57,7,California
1,Gender,2469,Female,30,66,4,California
2,Age,2469,18-29,23,66,11,California
2,Age,2469,30-44,27,67,6,California
2,Age,2469,45-64,39,57,4,California
2,Age,2469,65 and older,36,61,3,California
3,Age,2469,18-24,18,67,15,California
3,Age,2469,25-29,29,64,7,California
3,Age,2469,30-39,23,70,7,California
3,Age,2469,40-49,36,60,4,California
3,Age,2469,50-64,40,57,3,California
3,Age,2469,65 and older,36,61,3,California
